label,Extracted_ID,Canonical_SMILES,QED,PubChem_CID
(-)-Medicarpin,336327,COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21,0.864981897,336327
"(2S)-4-methoxy-7-methyl-2-[1-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methylol-tetrahydropyran-2-yl]oxy-ethyl]-2,3-dihydrofuro[3,2-g]chromen-5-one",84272-85-5,COc1c2c(cc3oc(C)cc(=O)c13)OC(C(C)(C)OC1OC(CO)C(O)C(O)C1O)C2,0.48880586,5317707
"(3R)-3-(2-hydroxy-3,4-dimethoxyphenyl)chroman-7-ol",64474-51-7,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1OC,0.912238598,602152
"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",64997-52-0,CCCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,0.4033869,11475885
"(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan",14077830,COc1ccc2c(c1OC)OC1c3ccc(O)cc3OCC21,0.923602879,14077830
"(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan-3-O-beta-D-glucoside",94367-42-7,COc1ccc2c(c1OC)OC1c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3OCC21,0.497039753,101679160
(S)-Coriolic acid,6443013,CCCCCC(O)C=CC=CCCCCCCCC(=O)O,0.355493447,6443013
"(Z)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one",961-29-5,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,0.582502973,638278
"(Z,Z,Z)-9,12,15-Octadecatrienoic acid",5280934,CCC=CCC=CCC=CCCCCCCCC(=O)O,0.348410449,5280934
0W5ETF9M2K,6114,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],0.372537332,6114
"10,13-Octadecadienoic acid",54284936,CCCCC=CCC=CCCCCCCCCC(=O)O,0.318261613,54284936
"22,23-Dihydrostigmasterol",222284,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,0.436095642,222284
2-Hydroxy-3-methoxystrychnine,21680050,COc1cc2c(cc1O)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,0.753224866,21680050
2-Methyl-3-hydroxypyridine,70719,Cc1ncccc1O,0.54069694,70719
"3,5-Dimethoxystilbene",5316874,COc1cc(C=Cc2ccccc2)cc(OC)c1,0.755084862,5316874
"3,9,10-trimethoxypterocarpan",15689655,COc1ccc2c(c1)OCC1c3ccc(OC)c(OC)c3OC21,0.869461268,15689655
4-Aminobutyric acid,119,NCCCC(=O)O,0.520009216,119
"4-Hydroxy-2,6-dimethyl-6-(3,7-dimethyl-2,6-octadienyl)-8-(3-methyl-2-butenyl)-2H-1-benzopyran-5,7(3H,6H)-dione",5318203,CC(C)=CCCC(C)=CCC1(C)C(=O)C2=C(OC(C)CC2=O)C(CC=C(C)C)=C1O,0.384940594,5318203
"5,7,4'-trihydroxyisoflavone",5280961,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.631832936,5280961
