label	Extracted_ID	PubChem_CID	Canonical_SMILES	QED	MolWt	HeavyAtoms
(-)-Medicarpin	336327	336327	COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21	0.8649818966677469	270.284	20.0
(-)-methylinissolin 3-O-β-D-(6'-acetyl)-glucoside	901066	901066	COc1ccc2c(c1OC)OC1c3ccc(OC4OC(COC(C)=O)C(O)C(O)C4O)cc3OCC21	0.4862383057024705	504.4880000000003	36.0
(-)-methylinissolin 3-O-β-D-{6'-[(E)-but-2-enoyl]}-glucoside	1067	1067	CC=CC(=O)OC1OC(Oc2ccc3c(c2)OCC2c4ccc(OC)c(OC)c4OC32)C(O)C(O)C1O	0.3804183313176772	516.4990000000003	37.0
(2S)-4-methoxy-7-methyl-2-[1-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methylol-tetrahydropyran-2-yl]oxy-ethyl]-2,3-dihydrofuro[3,2-g]chromen-5-one	84272-85-5	5317707	COc1c2c(cc3oc(C)cc(=O)c13)OC(C(C)(C)OC1OC(CO)C(O)C(O)C1O)C2	0.4888058595277919	452.45600000000013	32.0
(3R) 8,2'-dihydroxy-7,4'-dimethoxyisoflavan	98144	98144	COc1ccc(C2COc3c(ccc(OC)c3O)C2)c(O)c1	0.9122385979722372	302.326	22.0
(3R)-(-)-7,2'-dihydroxy-3',4'-dimethyl isoflavan-7-O-β-D-glucopyranoside	907237	907237	Cc1ccc(C2COc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3C2)c(O)c1C	0.4822370033870265	432.46900000000016	31.0
(3R)-2',3'-dihydroxy-7,4'-dimethoxyisoflavan	50058	50058	COc1ccc2c(c1)OCC(c1ccc(OC)c(O)c1O)C2	0.8533630475686861	302.326	22.0
(3R)-2'-hydroxy-7,3',4'-trimethoxyisoflavan	1627	1627	COc1ccc2c(c1)OCC(c1ccc(OC)c(OC)c1O)C2	0.9388896869343089	316.35300000000007	23.0
(3R)-3-(2-hydroxy-3,4-dimethoxyphenyl)chroman-7-ol	64474-51-7	602152	COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1OC	0.9122385979722372	302.326	22.0
(3R)-3',8-dihydroxyvestitol	300053	300053	COc1ccc(C2COc3c(ccc(O)c3O)C2)c(O)c1O	0.6350275589756724	304.298	22.0
(3R)-7,2'-dihydroxy-3',4'-dimethoxyisoﬂavone	91560	91560	COc1ccc(-c2coc3cc(O)ccc3c2=O)c(O)c1OC	0.7724597953185254	314.29300000000006	23.0
(3R)-7,2'-dihydroxy-3',4'-dimethoxyisoflavone-7-O-β-D-glycoside	300613	300613	COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)c(O)c1OC	0.3330545574521933	476.4340000000002	34.0
(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	64997-52-0	11475885	CCCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	0.4033868999565413	428.7450000000003	31.0
(6aR,11aR)-10-hydroxy-3,9-dimethoxypterocarpan	1755	1755	COc1ccc2c(c1)OCC1c3ccc(OC)c(O)c3OC21	0.923602879469534	300.31	22.0
(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan	14077830	14077830	COc1ccc2c(c1OC)OC1c3ccc(O)cc3OCC21	0.923602879469534	300.31000000000006	22.0
(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan-3-O-beta-D-glucoside	94367-42-7	101679160	COc1ccc2c(c1OC)OC1c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3OCC21	0.4970397527370682	462.4510000000002	33.0
(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan-3-O-β-D-glucoside-6''-O-malonate	50210	50210	COc1ccc2c(c1OC)CC1c3ccc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)cc3OCC21	0.2706817283436911	546.5250000000002	39.0
(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan-3-O-β-D-glucuronide	1765	1765	COc1ccc2c(c1OC)OC1c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3OCC21	0.4793196180372538	476.4340000000002	34.0
(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan-3-O-β-D-sambubioside	1766	1766	COc1ccc2c(c1OC)OC1c3ccc(OC4OC(CO)C(O)C(O)C4OC4OCC(O)C(O)C4O)cc3OCC21	0.2273633354560546	594.5660000000001	42.0
(R)-3-(5-hydroxy-2,3,4-trimethoxyphenyl)-chroman-7-ol	94839	94839	COc1c(O)cc(C2COc3cc(O)ccc3C2)c(OC)c1OC	0.8963952463126061	332.3520000000001	24.0
(S)-Coriolic acid	6443013	6443013	CCCCCC(O)C=CC=CCCCCCCCC(=O)O	0.3554934469098265	296.4509999999999	21.0
(Z)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one	961-29-5	638278	O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O	0.5825029725741742	256.257	19.0
(Z,Z,Z)-9,12,15-Octadecatrienoic acid	5280934	5280934	CCC=CCC=CCC=CCCCCCCCC(=O)O	0.3484104486085374	278.4359999999999	20.0
10,13-Octadecadienoic acid	54284936	54284936	CCCCC=CCC=CCCCCCCCCC(=O)O	0.3182616134760953	280.4519999999999	20.0
10-dihydroxy-9-methoxypterocarpan-3-O-glycoside	95882	95882	COc1ccc2c(c1O)OC1c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3OCC21	0.439045293285635	448.42400000000015	32.0
10-dihydroxy-9-methoxypterocarpan-3-O-glycoside-6'-O-malonate	95881	95881	COc1ccc2c(c1O)OC1c3ccc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)cc3OCC21	0.2395849540125713	534.4700000000003	38.0
10-hydroxy-3,9-dimethoxypterocarpan	2545	2545	COc1ccc2c(c1)OCC1C2OC2C(O)C(OC)CCC12	0.904587994884387	306.3580000000001	22.0
2',4'-dimethoxy-3'-hydroxyisoflavan 6-O-β-D-glucoside	70010	70010	COc1ccc(C2COc3ccc(OC4OC(CO)C(O)C(O)C4O)cc3C2)c(OC)c1O	0.4045090659954549	464.46700000000016	33.0
22,23-Dihydrostigmasterol	222284	222284	CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	0.436095641737511	414.7180000000003	30.0
2-Hydroxy-3-methoxystrychnine	21680050	21680050	COc1cc2c(cc1O)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43	0.7532248656624282	380.4440000000001	28.0
3,10-dihydroxy-9-methoxypterocarpan	300445	300445	COc1ccc2c(c1O)OC1c3ccc(O)cc3OCC21	0.8433167937784753	286.2830000000001	21.0
3,5-Dimethoxystilbene	5316874	5316874	COc1cc(C=Cc2ccccc2)cc(OC)c1	0.7550848623313537	240.302	18.0
3',6-dimethoxy-4'-hydroxyisoflavone-7-O-β-D-glucopyranoside	50455	50455	COc1cc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)c(OC)cc3c2=O)ccc1O	0.3330545574521933	476.4340000000002	34.0
3,9,10-trimethoxypterocarpan	15689655	15689655	COc1ccc2c(c1)OCC1c3ccc(OC)c(OC)c3OC21	0.8694612683225502	314.33700000000005	23.0
3,9-dimethoxypterocarpan-10-O-β-D-glucopyranoside	50464	50464	COc1ccc2c(c1)OCC1c3ccc(OC)c(OC4OC(CO)C(O)C(O)C4O)c3OC21	0.4970397527370682	462.45100000000014	33.0
3-hydroxyflavanone	4724	4724	O=C1c2ccccc2OC(c2ccccc2)C1O	0.8319438423032804	240.258	18.0
4'7-dihydroxyisoflavone	9449	9449	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	0.700091545915688	254.24099999999999	19.0
4-Hydroxy-2,6-dimethyl-6-(3,7-dimethyl-2,6-octadienyl)-8-(3-methyl-2-butenyl)-2H-1-benzopyran-5,7(3H,6H)-dione	5318203	5318203	CC(C)=CCCC(C)=CCC1(C)C(=O)C2=C(OC(C)CC2=O)C(CC=C(C)C)=C1O	0.3849405935501261	412.5700000000002	30.0
5,7,4'-trihydroxy-3'-methoxyisoflavone	319744	319744	COc1cc(-c2coc3cc(O)cc(O)c3c2=O)ccc1O	0.6723108130019759	300.266	22.0
5,7,4'-trihydroxyisoflavone	5280961	5280961	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	270.24	20.0
5,7-dihydroxy-4'-methoxy-6-prenylisoflavone	5317478	5317478	COc1ccc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)cc1	0.6809003426139392	352.3860000000001	26.0
5,7-dihydroxy-4'-methoxy-8-prenylisoflavone	14604078	14604078	COc1ccc(-c2coc3c(CC=C(C)C)c(O)cc(O)c3c2=O)cc1	0.6809003426139392	352.3860000000001	26.0
5,7-dihydroxy-4'-methoxy-isoflavone	92208	92208	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1	0.7560099167404621	284.267	21.0
6,4'-dimethoxyisoflavone-7-O-glucoside	15054	15054	COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)c(OC)cc3c2=O)cc1	0.4133021178737239	460.4350000000002	33.0
