PubChem_CID	protein_id	combined_score
5280961	9606.ENSP00000000442	893
5280961	9606.ENSP00000003084	961
5280961	9606.ENSP00000155840	800
5280961	9606.ENSP00000162749	800
5280961	9606.ENSP00000206249	996
5280961	9606.ENSP00000215832	765
5280961	9606.ENSP00000216117	839
5280961	9606.ENSP00000216862	938
5280961	9606.ENSP00000219070	947
5280961	9606.ENSP00000221930	859
5280961	9606.ENSP00000222304	817
5280961	9606.ENSP00000225831	932
5280961	9606.ENSP00000226444	700
5280961	9606.ENSP00000226730	818
5280961	9606.ENSP00000227507	864
5280961	9606.ENSP00000228606	938
5280961	9606.ENSP00000228682	800
5280961	9606.ENSP00000228872	854
5280961	9606.ENSP00000229135	806
5280961	9606.ENSP00000237014	800
5280961	9606.ENSP00000237612	912
5280961	9606.ENSP00000239849	846
5280961	9606.ENSP00000241261	741
5280961	9606.ENSP00000241453	800
5280961	9606.ENSP00000244741	862
5280961	9606.ENSP00000245919	800
5280961	9606.ENSP00000251849	735
5280961	9606.ENSP00000252723	800
5280961	9606.ENSP00000252809	837
5280961	9606.ENSP00000256078	838
5280961	9606.ENSP00000256429	700
5280961	9606.ENSP00000257189	812
5280961	9606.ENSP00000257904	733
5280961	9606.ENSP00000258743	952
5280961	9606.ENSP00000260433	962
5280961	9606.ENSP00000260630	727
5280961	9606.ENSP00000261769	868
5280961	9606.ENSP00000262445	817
5280961	9606.ENSP00000262461	824
5280961	9606.ENSP00000262735	825
5280961	9606.ENSP00000262839	800
5280961	9606.ENSP00000262948	700
5280961	9606.ENSP00000263025	756
5280961	9606.ENSP00000263341	855
5280961	9606.ENSP00000263431	865
5280961	9606.ENSP00000264498	806
5280961	9606.ENSP00000264657	863
5280961	9606.ENSP00000264709	839
5280961	9606.ENSP00000265171	894
5280961	9606.ENSP00000265641	824
5280961	9606.ENSP00000267163	700
5280961	9606.ENSP00000269305	882
5280961	9606.ENSP00000269571	946
5280961	9606.ENSP00000270142	824
5280961	9606.ENSP00000270202	960
5280961	9606.ENSP00000275493	899
5280961	9606.ENSP00000278616	942
5280961	9606.ENSP00000282077	743
5280961	9606.ENSP00000283916	786
5280961	9606.ENSP00000285379	824
5280961	9606.ENSP00000287820	964
5280961	9606.ENSP00000288207	853
5280961	9606.ENSP00000294728	822
5280961	9606.ENSP00000295453	844
5280961	9606.ENSP00000297494	978
5280961	9606.ENSP00000299198	700
5280961	9606.ENSP00000299421	824
5280961	9606.ENSP00000300093	800
5280961	9606.ENSP00000302486	763
5280961	9606.ENSP00000302665	882
5280961	9606.ENSP00000304845	732
5280961	9606.ENSP00000305422	824
5280961	9606.ENSP00000305651	800
5280961	9606.ENSP00000309124	800
5280961	9606.ENSP00000309572	824
5280961	9606.ENSP00000309845	824
5280961	9606.ENSP00000311032	949
5280961	9606.ENSP00000312652	781
5280961	9606.ENSP00000313007	843
5280961	9606.ENSP00000314151	867
5280961	9606.ENSP00000318820	700
5280961	9606.ENSP00000318822	700
5280961	9606.ENSP00000320940	824
5280961	9606.ENSP00000321656	844
5280961	9606.ENSP00000321999	800
5280961	9606.ENSP00000324806	727
5280961	9606.ENSP00000326366	800
5280961	9606.ENSP00000327652	800
5280961	9606.ENSP00000329357	700
5280961	9606.ENSP00000330237	722
5280961	9606.ENSP00000332816	937
5280961	9606.ENSP00000333685	700
5280961	9606.ENSP00000337459	786
5280961	9606.ENSP00000337915	775
5280961	9606.ENSP00000338018	815
5280961	9606.ENSP00000338157	839
5280961	9606.ENSP00000339527	955
5280961	9606.ENSP00000341189	943
5280961	9606.ENSP00000342007	943
5280961	9606.ENSP00000342307	842
5280961	9606.ENSP00000343838	732
5280961	9606.ENSP00000343925	996
5280961	9606.ENSP00000344352	824
5280961	9606.ENSP00000344609	700
5280961	9606.ENSP00000346768	726
5280961	9606.ENSP00000347379	824
5280961	9606.ENSP00000347942	800
5280961	9606.ENSP00000348069	816
5280961	9606.ENSP00000350941	889
5280961	9606.ENSP00000352516	846
5280961	9606.ENSP00000354511	727
5280961	9606.ENSP00000355627	812
5280961	9606.ENSP00000355759	779
5280961	9606.ENSP00000356438	853
5280961	9606.ENSP00000358548	800
5280961	9606.ENSP00000360020	800
5280961	9606.ENSP00000360025	854
5280961	9606.ENSP00000360266	757
5280961	9606.ENSP00000360317	800
5280961	9606.ENSP00000361125	786
5280961	9606.ENSP00000361405	948
5280961	9606.ENSP00000362525	732
5280961	9606.ENSP00000362549	726
5280961	9606.ENSP00000363081	824
5280961	9606.ENSP00000363822	959
5280961	9606.ENSP00000363827	800
5280961	9606.ENSP00000363965	822
5280961	9606.ENSP00000366936	800
5280961	9606.ENSP00000367207	848
5280961	9606.ENSP00000368683	822
5280961	9606.ENSP00000369050	988
5280961	9606.ENSP00000369547	800
5280961	9606.ENSP00000369816	866
5280961	9606.ENSP00000371152	824
5280961	9606.ENSP00000372023	938
5280961	9606.ENSP00000375881	844
5280961	9606.ENSP00000378400	835
5280961	9606.ENSP00000378699	734
5280961	9606.ENSP00000379140	700
5280961	9606.ENSP00000382342	700
5280961	9606.ENSP00000386884	938
5280961	9606.ENSP00000387230	800
5280961	9606.ENSP00000387699	818
5280961	9606.ENSP00000388648	824
5280961	9606.ENSP00000398632	838
5280961	9606.ENSP00000398698	744
5280961	9606.ENSP00000399968	800
5280961	9606.ENSP00000401802	824
5280961	9606.ENSP00000409007	800
5280961	9606.ENSP00000411532	924
5280961	9606.ENSP00000411593	700
5280961	9606.ENSP00000416293	725
5280961	9606.ENSP00000416330	800
5280961	9606.ENSP00000417281	817
5280961	9606.ENSP00000418532	700
5280961	9606.ENSP00000420168	847
5280961	9606.ENSP00000466799	738
60164	9606.ENSP00000254066	823
60164	9606.ENSP00000332296	954
60164	9606.ENSP00000352900	800
60164	9606.ENSP00000357153	824
60164	9606.ENSP00000357204	924
60164	9606.ENSP00000363812	800
60164	9606.ENSP00000377947	851
60164	9606.ENSP00000419692	800
60146	9606.ENSP00000280155	816
60146	9606.ENSP00000306662	994
60146	9606.ENSP00000316244	834
60146	9606.ENSP00000354859	703
60146	9606.ENSP00000368766	998
60146	9606.ENSP00000369960	999
60146	9606.ENSP00000373169	907
60146	9606.ENSP00000386069	851
10713	9606.ENSP00000396308	828
10624	9606.ENSP00000258400	750
10624	9606.ENSP00000276198	719
10624	9606.ENSP00000367959	739
4724	9606.ENSP00000305372	865
4724	9606.ENSP00000316244	926
4724	9606.ENSP00000343782	835
4724	9606.ENSP00000358301	835
4724	9606.ENSP00000358963	837
4528	9606.ENSP00000219833	989
4528	9606.ENSP00000225275	800
4528	9606.ENSP00000270349	998
4528	9606.ENSP00000338345	745
4528	9606.ENSP00000340684	828
4528	9606.ENSP00000354859	856
4528	9606.ENSP00000367309	838
2545	9606.ENSP00000219070	800
2545	9606.ENSP00000283916	786
2545	9606.ENSP00000295256	800
2545	9606.ENSP00000351885	865
1766	9606.ENSP00000287820	958
1755	9606.ENSP00000386284	959
1627	9606.ENSP00000319788	964
137	9606.ENSP00000216117	861
137	9606.ENSP00000219700	760
137	9606.ENSP00000272644	800
137	9606.ENSP00000278715	716
137	9606.ENSP00000309259	984
137	9606.ENSP00000332369	999
137	9606.ENSP00000356110	800
137	9606.ENSP00000357775	711
137	9606.ENSP00000372326	926
137	9606.ENSP00000386284	987
136	9606.ENSP00000258874	981
136	9606.ENSP00000273588	908
136	9606.ENSP00000291670	930
136	9606.ENSP00000356290	713
136	9606.ENSP00000371236	948
136	9606.ENSP00000377617	973
136	9606.ENSP00000379108	939
136	9606.ENSP00000450560	971
136	9606.ENSP00000455643	935
132	9606.ENSP00000239231	946
132	9606.ENSP00000302108	946
132	9606.ENSP00000313377	946
132	9606.ENSP00000343190	961
132	9606.ENSP00000361642	961
132	9606.ENSP00000367727	946
132	9606.ENSP00000464814	972
