PubChem_CID	label	Canonical_SMILES	QED	protein_id	gene_symbol	combined_score	axis_tag	axis_priority
60146	6''-O-acetyl-(3R)-7,2'-dihydroxy-3',4'-dimethoxyisoflavan-7-O-β-D-glucopyranoside	COc1ccc(C2COc3cc(OC4OC(COC(C)=O)C(O)C(O)C4O)ccc3C2)c(O)c1OC	0.3958416720733269	9606.ENSP00000369960	ADRA1A	999		0
60146	6''-O-acetyl-(3R)-7,2'-dihydroxy-3',4'-dimethoxyisoflavan-7-O-β-D-glucopyranoside	COc1ccc(C2COc3cc(OC4OC(COC(C)=O)C(O)C(O)C4O)ccc3C2)c(O)c1OC	0.3958416720733269	9606.ENSP00000368766	ADRA1D	998		0
4528	patchouli alcohol	CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3	0.663594769689398	9606.ENSP00000270349	SLC6A3	998		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000343925	ESR2	996		0
60146	6''-O-acetyl-(3R)-7,2'-dihydroxy-3',4'-dimethoxyisoflavan-7-O-β-D-glucopyranoside	COc1ccc(C2COc3cc(OC4OC(COC(C)=O)C(O)C(O)C4O)ccc3C2)c(O)c1OC	0.3958416720733269	9606.ENSP00000306662	ADRA1B	994		0
4528	patchouli alcohol	CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3	0.663594769689398	9606.ENSP00000219833	SLC6A2	989		0
137	isorhamnetin	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O	0.5721390849031665	9606.ENSP00000386284	ALAD	987		0
136	kaempferol	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	0.5458513994143424	9606.ENSP00000258874	MTHFS	981		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000297494	NOS3	978		0
136	kaempferol	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	0.5458513994143424	9606.ENSP00000377617	MTHFD2	973		0
132	quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0.4341904402990981	9606.ENSP00000464814	COASY	972		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000287820	PPARG	964		0
1627	(3R)-2'-hydroxy-7,3',4'-trimethoxyisoflavan	COc1ccc2c(c1)OCC(c1ccc(OC)c(OC)c1O)C2	0.9388896869343089	9606.ENSP00000319788	NQO1	964		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000003084	CFTR	961		0
132	quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0.4341904402990981	9606.ENSP00000361642	PPCS	961		0
132	quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0.4341904402990981	9606.ENSP00000343190	PPCDC	961		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000363822	AR	959		0
1755	(6aR,11aR)-10-hydroxy-3,9-dimethoxypterocarpan	COc1ccc2c(c1)OCC1c3ccc(OC)c(O)c3OC21	0.923602879469534	9606.ENSP00000386284	ALAD	959		0
1766	(6aR,11aR)-3-hydroxy-9,10-dimethoxypterocarpan-3-O-β-D-sambubioside	COc1ccc2c(c1OC)OC1c3ccc(OC4OC(CO)C(O)C(O)C4OC4OCC(O)C(O)C4O)cc3OCC21	0.2273633354560546	9606.ENSP00000287820	PPARG	958		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000339527	FOXO3	955		0
60164	8,3'-dihydroxy-7,4'-dimethoxy-isoflavone	COc1ccc(-c2coc3c(O)c(OC)ccc3c2=O)cc1O	0.7724597953185254	9606.ENSP00000332296	RARB	954		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000311032	CASP3	949		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000361405	MMP9	948		0
5280961	5,7,4'-trihydroxyisoflavone	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0.6318329361180623	9606.ENSP00000219070	MMP2	947		0
132	quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0.4341904402990981	9606.ENSP00000313377	PANK2	946		0
132	quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0.4341904402990981	9606.ENSP00000239231	PANK3	946		0
